provincia,canton,Poblacion total,Superficie (km2),Densidad de poblacion - Personas por km2,Porcentaje de poblacion urbana - Personas que viven en zona urbana por cada 100,Relacion hombres-mujeres - Hombres por cada 100mujeres,Relacion de dependencia demografica - Personas dependientes (menores de 15anhos o de 65y mas) por cada 100personas en edad productiva (15a 64anhos),Viviendas individuales ocupadas,Promedio de ocupantes - Promedio de personas por vivienda individual ocupada,Porcentaje de viviendas en buen estado,Porcentaje de viviendas hacinadas - Viviendas con mas de 3personas por dormitorio por cada cien viviendas ocupadas,Porcentaje de alfabetismo - Personas que saben leer y escribir de cada 100,Porcentaje de alfabetismo - 10a 24anhos,Porcentaje de alfabetismo - 25y mas anhos,Escolaridad promedio - Promedio de anhos aprobados de educacion regular,Escolaridad promedio - 25a 49anhos,Escolaridad promedio - 50o mas anhos,Porcentaje de asistencia a la educacion regular,Porcentaje de asistencia a la educacion regular - Menor de 5anhos,Porcentaje de asistencia a la educacion regular - 5a 17anhos,Porcentaje de asistencia a la educacion regular - 18a 24anhos,Porcentaje de asistencia a la educacion regular - 25y mas anhos,Personas fuera de la fuerza de trabajo (15anhos y mas),Tasa neta de participacion - Personas en la fuerza de trabajo (ocupadas y desocupadas) por cada 100personas de 15anhos y mas,Tasa neta de participacion - Hombres,Tasa neta de participacion - Mujeres,Porcentaje de poblacion ocupada no asegurada,Porcentaje de poblacion nacida en el extranjero,Porcentaje de poblacion con discapacidad,Porcentaje de poblacion no asegurada,Porcentaje de hogares con jefatura femenina,Porcentaje de hogares con jefatura compartida
ALAJUELA,UPALA,43953,1580.7,28,21.4,100.4,60.4,11518,3.81,41.6,10.4,94.1,99.1,90.9,6.1,7.0,4.4,36.7,5.9,86.3,38.2,6.9,55.1,44.9,67.7,22.4,30.1,12.7,13.5,30.6,24.9,7.7
ALAJUELA,LOS CHILES,23735,1358.9,17,20.4,104.4,58.7,6035,3.93,39.8,14.2,91.1,97.1,86.8,5.5,6.1,4.1,33.1,6.8,77.9,30.2,5.9,52.5,47.5,71.9,21.8,30.8,27.7,10.8,28.4,22.5,8.0
ALAJUELA,GUATUSO,15508,758.3,20,17.2,103.5,55.4,4409,3.51,44.7,7.2,94.2,98.5,91.7,6.0,6.8,4.5,30.1,7.9,80.0,29.6,4.2,53.9,46.1,70.7,21.1,27.7,9.1,13.0,22.4,22.4,7.9
CARTAGO,PROVINCIA,490903,3125,157,82.5,96.3,45.2,130464,3.7,70.9,3.5,97.9,99.2,97.3,8.4,9.2,6.9,99999.0,18.3,88.7,47.8,8.6,46.6,53.4,73.2,34.8,14.1,4.2,9.1,13.7,27.7,7.3
CARTAGO,CARTAGO,147898,287.8,514,88.7,96.1,43.9,38618,3.80,74.1,2.9,98.4,99.3,97.9,9.0,9.8,7.6,34.3,19.1,89.4,51.9,9.2,46.8,53.2,72.2,35.3,13.7,3.9,8.6,13.9,28.7,6.4
CARTAGO,PARAISO,57743,411.9,140,76.9,95.9,45.8,14626,3.94,70.8,4.0,98.0,99.3,97.2,7.5,8.3,6.0,32.8,17.0,87.0,42.9,6.9,48.5,51.5,74.2,29.9,13.9,2.4,8.0,13.5,26.0,4.9
CARTAGO,LA UNION,99399,44.8,2217,97.0,93.2,43.7,26979,3.67,69.7,4.7,98.6,99.4,98.3,9.5,10.2,8.0,34.2,18.5,89.8,47.6,9.8,40.7,59.3,75.4,44.7,12.9,9.7,9.4,14.1,31.5,8.4
CARTAGO,JIMENEZ,14669,286.4,51,52.6,98.9,46.8,4113,3.56,56.7,2.0,96.6,99.1,95.3,6.6,7.4,5.2,31.6,15.7,89.1,44.0,5.9,52.9,47.1,70.3,23.8,12.7,2.4,10.9,11.0,25.6,10.0
CARTAGO,TURRIALBA,69616,1642.7,42,57.4,97.8,49.1,20453,3.40,64.9,3.4,96.1,98.8,94.8,7.4,8.3,6.0,33.0,18.8,88.4,49.1,8.2,52.5,47.5,67.7,28.1,14.9,2.2,11.7,12.6,26.5,8.3
CARTAGO,ALVARADO,14312,81.1,177,62.6,100.3,47.6,3612,3.95,72.4,3.1,97.2,98.8,96.4,6.6,7.3,5.2,29.5,16.4,82.4,35.7,5.5,47.0,53.0,79.7,26.7,18.1,1.4,8.9,14.3,19.5,8.8
CARTAGO,OREAMUNO,45473,201.3,226,87.5,95.7,45.5,11232,4.04,76.7,4.0,97.7,99.1,97.0,8.1,8.8,6.7,33.9,18.9,88.3,46.8,7.8,46.1,53.9,75.8,33.5,17.2,1.4,8.3,15.7,26.0,7.2
CARTAGO,EL GUARCO,41793,167.7,249,87.7,101.5,44.7,10831,3.83,73.2,2.5,98.4,99.5,97.9,8.3,9.2,6.5,34.4,17.7,89.8,44.8,8.7,44.9,55.1,75.5,34.8,12.9,2.8,8.1,13.0,23.7,7.3
GUANACASTE,PROVINCIA,326953,10141,32,55.2,98.2,50.9,92584,3.5,58.4,6.7,97.0,99.1,96.0,8.0,8.7,6.6,99999.0,11.5,86.1,40.8,6.5,52.6,47.4,65.6,29.9,18.8,8.2,10.9,18.5,29.6,6.6
GUANACASTE,LIBERIA,62987,1436.5,44,82.0,95.9,49.9,16577,3.75,64.5,8.8,97.7,99.0,97.0,8.8,9.4,7.5,35.0,11.0,87.4,45.3,8.5,47.9,52.1,67.5,37.7,16.8,10.2,7.9,18.9,33.1,7.5
GUANACASTE,NICOYA,50825,1333.7,38,44.1,96.7,50.6,15038,3.38,56.3,5.2,97.3,99.5,96.3,8.1,9.0,6.7,31.1,13.6,88.1,45.1,6.7,56.3,43.7,60.2,28.1,17.5,3.3,13.8,14.2,30.7,5.9
GUANACASTE,SANTA CRUZ,55104,1312.3,42,48.1,98.1,48.1,16645,3.31,61.9,6.0,98.1,99.4,97.5,8.7,9.5,7.4,28.4,15.4,82.9,37.5,6.2,52.5,47.5,62.3,33.2,21.4,8.6,12.3,22.2,31.7,4.9
GUANACASTE,BAGACES,19536,1273.5,15,46.7,101.8,54.5,5615,3.48,53.3,6.5,96.2,99.2,94.5,7.0,7.8,5.4,32.3,8.3,84.7,38.4,5.9,54.1,45.9,68.9,23.2,17.8,8.3,9.4,16.2,26.8,5.5
GUANACASTE,CARRILLO,37122,577.5,64,62.3,100.4,50.8,10141,3.65,61.7,9.0,97.8,99.1,97.2,8.1,8.8,7.0,29.4,10.2,84.8,32.9,4.9,53.5,46.5,63.9,29.3,17.7,12.1,10.2,19.6,29.2,5.8
GUANACASTE,CAnhAS,26201,682.2,38,80.0,97.1,50.8,7172,3.65,54.8,7.8,96.4,98.8,95.2,7.5,8.3,6.1,33.1,10.7,87.4,39.1,7.1,50.2,49.8,70.8,29.8,14.3,8.1,9.7,16.0,28.8,6.0
GUANACASTE,ABANGARES,18039,675.8,27,30.4,99.9,51.4,5311,3.39,49.7,5.4,95.5,98.8,93.8,6.8,7.7,5.2,30.3,9.5,85.4,35.1,4.8,52.9,47.1,69.6,25.0,21.8,3.7,12.0,19.2,26.7,6.6
GUANACASTE,TILARAN,19640,638.4,31,50.7,98.3,52.9,6018,3.26,65.9,2.5,96.4,99.2,95.0,7.3,8.3,6.0,32.2,15.0,90.2,45.7,6.2,51.4,48.6,71.5,26.5,16.7,5.7,11.7,13.7,24.8,9.5
GUANACASTE,NANDAYURE,11121,565.6,20,20.7,104.0,51.2,3307,3.35,50.7,3.7,96.2,99.3,94.7,6.7,7.7,5.2,31.2,10.7,87.3,45.1,5.4,57.8,42.2,63.1,20.8,18.1,3.2,13.9,14.9,23.8,11.2
GUANACASTE,LA CRUZ,19181,1383.9,14,37.1,96.9,59.3,4732,4.05,41.6,10.7,93.8,98.6,90.5,6.2,7.1,4.5,34.9,6.2,82.7,34.0,6.6,54.6,45.4,68.7,23.0,32.1,18.2,9.4,30.0,27.6,7.3
GUANACASTE,HOJANCHA,7197,261.4,28,24.3,103.2,48.5,2028,3.55,58.1,3.0,96.5,99.5,95.0,7.2,8.3,5.5,33.3,8.6,88.5,58.3,6.4,56.2,43.8,63.6,23.3,17.7,2.6,12.6,12.7,24.4,9.3
HEREDIA,PROVINCIA,433677,2657,163,86.0,95.0,42.9,122410,3.5,73.9,3.9,98.4,99.3,97.9,9.8,10.4,8.5,99999.0,18.2,89.7,49.9,9.3,42.7,57.3,73.7,42.1,10.8,10.0,10.0,11.6,30.0,9.3
HEREDIA,HEREDIA,123616,282.6,437,99.7,90.3,40.8,35216,3.50,78.2,3.9,99.1,99.5,98.9,10.6,11.2,9.4,34.1,19.7,91.3,54.2,10.6,41.1,58.9,73.1,46.5,9.2,11.3,10.5,10.5,34.9,9.2
HEREDIA,BARVA,40660,53.8,756,91.0,95.7,40.7,11291,3.59,78.6,2.4,98.9,99.5,98.6,10.1,10.9,8.8,32.9,19.2,88.5,50.7,9.5,42.2,57.8,74.7,42.0,10.0,5.4,9.5,9.6,27.4,9.5
HEREDIA,SANTO DOMINGO,40072,24.8,1613,100.0,94.6,41.3,11496,3.48,77.6,2.9,99.1,99.4,98.9,10.4,11.2,9.2,32.0,23.8,91.2,56.4,9.6,42.9,57.1,72.4,43.0,9.9,7.7,9.8,9.3,30.4,10.1
HEREDIA,SANTA BARBARA,36243,53.2,681,87.8,97.3,43.4,10107,3.58,76.4,2.9,98.5,99.4,98.1,8.8,9.6,7.2,33.3,15.8,90.8,46.3,8.6,43.6,56.4,75.6,38.0,11.7,6.8,9.7,11.4,24.6,8.0
HEREDIA,SAN RAFAEL,45965,48.4,950,90.3,95.3,42.8,12957,3.54,74.1,3.1,98.7,99.5,98.4,9.8,10.6,8.3,33.4,18.7,90.7,51.5,9.7,42.1,57.9,73.5,43.3,12.1,8.1,9.4,12.3,30.5,10.3
HEREDIA,SAN ISIDRO,20633,27.0,765,94.6,98.0,41.2,5807,3.54,76.6,2.4,98.7,99.8,98.2,9.7,10.5,8.2,33.3,22.6,92.1,52.6,9.5,41.3,58.7,75.1,43.1,11.2,7.7,8.6,11.2,28.5,11.9
HEREDIA,BELEN,21633,12.1,1780,100.0,94.2,38.7,6011,3.59,82.5,2.9,99.0,99.7,98.8,10.3,11.2,8.7,29.4,29.1,89.5,50.5,7.8,41.5,58.5,74.1,44.1,9.8,12.0,8.8,10.3,28.6,10.6
HEREDIA,FLORES,20037,7.0,2879,100.0,95.9,41.3,5751,3.48,83.0,2.4,99.1,99.3,99.0,10.6,11.5,9.0,32.4,25.8,91.3,50.9,9.4,41.1,58.9,74.3,44.5,9.3,7.8,9.4,9.0,28.5,11.2
HEREDIA,SAN PABLO,27671,7.5,3675,100.0,93.1,38.6,8006,3.44,82.3,2.6,99.1,99.5,98.9,11.2,12.0,9.7,33.6,25.8,90.9,57.7,10.6,41.5,58.5,72.0,46.2,8.0,7.6,11.0,8.8,32.5,11.3
HEREDIA,SARAPIQUI,57147,2140.5,27,18.1,103.4,55.6,15768,3.60,44.7,9.1,94.4,98.2,91.9,5.9,6.4,4.6,33.7,6.4,84.3,31.3,5.2,49.5,50.5,73.8,26.5,18.1,17.8,10.5,19.3,24.0,5.9
LIMON,PROVINCIA,386862,9189,42,56.5,100.2,54.7,109316,3.5,49.1,7.6,96.3,99.0,94.7,7.0,7.6,5.7,99999.0,8.3,84.0,33.5,7.0,49.6,50.4,72.0,29.1,13.9,8.7,11.2,14.4,27.5,5.4
LIMON,LIMON,94415,1765.8,53,71.2,94.0,56.9,26666,3.52,51.1,8.3,97.0,99.1,95.7,8.1,8.7,7.0,35.7,8.6,85.1,39.7,8.7,51.1,48.9,66.6,32.6,12.6,6.7,11.8,15.4,32.7,4.4
LIMON,POCOCI,125962,2403.5,52,59.2,100.9,51.6,36238,3.46,51.8,6.3,96.5,99.1,95.0,6.9,7.6,5.4,32.9,8.1,84.4,32.9,6.9,48.8,51.2,73.5,28.9,16.2,7.5,11.4,16.1,26.5,6.3
LIMON,SIQUIRRES,56786,860.2,66,53.8,102.6,52.7,16206,3.49,48.2,5.9,96.5,99.1,95.0,6.5,7.2,5.2,32.7,8.9,84.6,31.5,6.3,49.4,50.6,73.9,26.8,10.8,6.9,10.8,10.4,25.0,6.6
LIMON,TALAMANCA,30712,2809.9,11,23.4,104.0,65.1,7999,3.83,44.1,14.1,93.1,97.9,89.6,6.4,6.9,5.2,36.2,7.4,82.5,30.7,6.7,49.6,50.4,71.1,28.8,19.1,16.3,9.6,17.6,26.7,5.2
LIMON,MATINA,37721,772.6,49,50.9,108.1,56.0,10410,3.59,37.1,10.5,96.0,99.0,94.1,6.2,6.7,4.9,32.8,6.1,81.6,27.5,6.0,48.1,51.9,75.5,26.4,9.8,14.5,10.5,12.1,22.6,2.7
LIMON,GUACIMO,41266,576.5,72,48.7,99.9,53.8,11797,3.47,51.4,5.7,96.5,99.1,94.9,6.3,7.0,5.0,32.5,10.3,83.2,32.2,5.6,49.6,50.4,73.7,27.2,14.1,8.5,11.6,12.4,27.6,5.4
PUNTARENAS,PROVINCIA,410929,11266,36,54.7,100.5,53.0,119302,3.4,49.3,7.3,96.2,99.0,94.7,7.2,7.9,5.8,99999.0,8.5,86.2,37.3,6.9,51.1,48.9,69.8,28.2,17.1,5.9,11.3,15.3,27.3,6.5
PUNTARENAS,PUNTARENAS,115019,1842.3,62,71.5,99.1,51.3,33228,3.44,51.1,7.9,97.1,99.1,96.1,7.6,8.3,6.4,33.0,10.8,87.8,40.2,7.3,51.8,48.2,67.1,29.9,15.4,5.6,10.9,14.2,29.9,4.8
PUNTARENAS,ESPARZA,28644,216.8,132,74.6,96.6,50.0,8435,3.39,59.4,4.6,97.6,99.1,96.9,8.3,9.2,6.9,33.5,10.7,88.8,46.1,8.0,50.5,49.5,70.0,30.1,15.1,4.3,12.0,14.0,26.6,8.1
PUNTARENAS,BUENOS AIRES,45244,2384.2,19,37.7,101.7,60.7,12205,3.70,42.7,9.2,95.3,98.9,92.8,6.0,6.7,4.4,36.2,5.7,82.5,36.5,7.2,54.8,45.2,70.8,19.3,13.5,2.2,10.5,10.3,25.3,6.7
PUNTARENAS,MONTES DE ORO,12950,244.8,53,68.5,98.9,48.3,3929,3.29,62.5,3.9,96.4,99.4,95.1,7.8,8.9,6.1,30.5,11.8,87.2,44.6,6.1,52.3,47.7,67.6,28.0,11.8,4.3,10.8,9.6,24.8,8.4
PUNTARENAS,OSA,29433,1930.2,15,38.0,104.5,52.1,8904,3.30,43.2,6.3,95.3,98.7,93.4,6.8,7.5,5.4,30.8,7.6,83.8,32.7,6.1,51.5,48.5,68.7,27.4,19.2,4.1,14.1,15.1,26.6,8.6
PUNTARENAS,AGUIRRE,26861,543.8,49,52.8,106.1,46.3,8094,3.32,47.8,8.2,96.5,99.0,95.2,7.4,7.8,6.3,30.3,8.5,86.4,30.8,5.9,45.0,55.0,74.4,34.5,16.1,9.7,9.1,16.5,24.6,8.0
PUNTARENAS,GOLFITO,39150,1754.0,22,46.9,102.3,53.6,11576,3.37,45.1,7.2,96.0,99.4,94.1,7.0,7.8,5.5,33.0,6.4,85.7,35.8,6.9,51.6,48.4,68.5,28.0,22.6,3.7,12.9,23.7,27.7,6.6
PUNTARENAS,COTO BRUS,38453,933.9,41,23.0,99.0,60.5,10936,3.50,46.5,5.1,94.7,98.0,92.8,6.3,7.4,4.6,35.3,7.4,86.6,40.1,6.6,55.3,44.7,68.7,21.8,16.7,4.9,12.1,14.2,24.6,7.8
PUNTARENAS,PARRITA,16115,478.8,34,53.2,104.5,48.3,4833,3.32,51.4,6.3,94.6,99.2,92.2,6.5,7.3,5.0,29.5,6.6,84.3,31.9,5.2,49.6,50.4,73.1,27.0,15.1,7.6,9.5,14.9,25.1,5.9
PUNTARENAS,CORREDORES,41831,620.6,67,51.3,98.1,55.2,11849,3.52,46.0,7.2,96.0,99.0,94.3,7.3,8.2,5.4,34.6,7.0,86.8,37.3,8.0,50.0,50.0,71.6,29.0,19.2,5.9,12.1,15.7,28.3,6.1
PUNTARENAS,GARABITO,17229,316.3,54,73.1,100.7,48.1,5313,3.24,61.5,12.9,96.7,99.1,95.5,7.5,7.9,6.3,28.5,9.9,85.7,23.3,4.3,39.8,60.2,79.1,41.6,25.3,24.1,7.9,24.2,27.5,4.5
SAN JOSE,PROVINCIA,1404242,4966,283,86.4,91.6,44.4,400961,3.5,67.4,4.6,98.5,99.4,98.1,9.4,10.1,8.4,99999.0,16.4,89.0,47.9,9.2,44.0,56.0,72.7,41.3,13.2,10.6,11.1,13.2,34.6,7.6
SAN JOSE,SAN JOSE,288054,44.6,6456,100.0,89.9,45.7,81903,3.50,63.4,6.8,98.8,99.4,98.5,9.9,10.3,9.2,31.1,16.8,88.5,46.2,9.5,43.3,56.7,71.2,44.2,13.7,16.3,12.3,14.2,39.6,6.9
SAN JOSE,ESCAZU,56509,34.5,1638,99.3,89.3,41.9,16565,3.40,74.3,3.8,99.0,99.4,98.8,10.9,11.4,10.1,29.8,28.7,90.9,49.9,7.6,39.3,60.7,74.0,49.2,13.8,19.9,10.4,14.2,32.5,8.7
SAN JOSE,DESAMPARADOS,208411,118.3,1762,93.6,92.2,43.9,57355,3.62,66.0,4.8,98.6,99.4,98.3,8.9,9.6,7.7,33.7,14.3,89.3,45.4,9.7,43.0,57.0,74.3,41.6,14.3,8.9,10.5,14.5,34.2,6.9
SAN JOSE,PURISCAL,33004,553.7,60,23.4,100.8,45.6,9787,3.36,64.5,2.2,96.7,99.5,95.3,7.9,9.2,6.0,33.9,11.2,90.2,52.4,8.4,49.3,50.7,69.7,32.0,12.5,2.2,13.1,10.4,28.2,6.9
SAN JOSE,TARRAZU,16280,297.5,55,50.3,98.8,51.4,4551,3.58,66.2,2.5,96.5,98.7,95.1,6.7,7.5,5.3,32.4,7.5,83.9,37.1,6.4,48.8,51.2,78.8,24.0,17.8,5.8,9.1,14.0,23.0,13.2
SAN JOSE,ASERRI,57892,167.1,346,71.1,95.8,45.2,16120,3.59,62.5,4.4,98.0,99.1,97.4,7.9,8.7,6.4,32.0,12.1,86.7,39.5,7.2,45.5,54.5,74.7,35.6,14.0,4.9,10.8,13.8,30.0,5.8
SAN JOSE,Moravia,26294,162.0,162,45.9,93.6,43.1,7782,3.38,68.8,3.0,98.0,99.4,97.4,9.0,9.9,7.3,32.4,19.9,91.1,48.8,8.1,44.8,55.2,73.9,38.2,11.6,7.4,10.2,11.1,28.7,10.1
SAN JOSE,GOICOECHEA,115084,31.5,3653,98.5,89.2,43.0,32520,3.53,68.0,4.3,99.0,99.4,98.9,9.8,10.5,8.7,32.8,18.2,89.7,48.9,10.5,43.2,56.8,72.1,43.6,12.0,9.5,11.7,12.1,37.1,7.3
SAN JOSE,SANTA ANA,49123,61.4,800,93.2,91.7,41.2,14235,3.43,76.9,3.8,98.7,99.3,98.4,10.6,11.2,9.2,30.4,27.6,90.3,46.5,7.3,38.2,61.8,75.9,49.1,13.8,18.9,9.9,13.5,29.8,10.2
SAN JOSE,ALAJUELITA,77603,21.2,3666,99.0,92.8,48.0,19832,3.91,57.6,8.4,98.6,99.4,98.1,8.0,8.7,6.6,32.8,11.1,86.3,36.9,7.6,44.0,56.0,74.9,39.3,16.5,12.9,11.2,16.5,36.3,5.8
SAN JOSE,VAZQUEZ DE CORONADO,60486,222.2,272,96.4,93.0,38.9,17155,3.52,73.1,2.5,99.1,99.5,98.8,9.9,10.8,8.4,35.1,18.8,92.0,54.0,11.1,41.6,58.4,73.9,44.4,11.0,4.5,10.2,11.0,31.3,8.1
SAN JOSE,ACOSTA,20209,342.2,59,12.5,102.3,48.7,5871,3.44,60.9,2.7,95.6,99.2,93.7,6.7,7.7,5.0,34.0,11.0,89.9,46.3,7.2,50.4,49.6,73.0,25.9,12.2,1.2,10.2,9.2,26.5,4.9
SAN JOSE,TIBAS,64842,8.1,7956,100.0,87.5,43.4,19160,3.38,70.6,3.6,99.0,99.5,98.7,10.3,11.1,9.3,31.3,18.9,91.0,52.7,10.2,44.0,56.0,70.4,43.8,10.7,10.7,11.5,11.6,40.1,7.6
SAN JOSE,MORAVIA,56919,28.6,1989,99.4,88.6,41.1,16874,3.36,78.7,2.6,99.2,99.5,99.1,11.1,11.7,10.1,33.4,23.4,92.3,57.8,10.8,41.3,58.7,73.3,46.0,10.7,8.6,10.7,10.7,33.9,8.3
SAN JOSE,MONTES DE OCA,49132,15.2,3241,100.0,87.4,35.3,16589,2.94,79.9,2.0,99.5,99.7,99.4,12.2,12.9,11.2,35.4,28.8,92.8,69.3,14.2,41.2,58.8,69.2,49.9,9.3,13.1,11.1,10.2,40.4,9.9
SAN JOSE,TURRUBARES,5512,415.3,13,13.4,107.2,49.7,1679,3.27,44.9,3.5,95.0,99.4,92.7,6.4,7.3,5.2,30.4,9.4,87.0,39.9,4.7,51.8,48.2,72.9,21.4,23.6,4.5,11.5,18.1,24.2,10.9
SAN JOSE,DOTA,6948,400.2,17,30.6,95.8,50.5,1952,3.54,74.3,2.7,97.3,99.1,96.2,7.3,8.0,6.1,33.5,7.5,86.3,44.1,6.5,48.8,51.2,76.6,27.1,18.5,7.1,8.2,15.1,23.6,6.2
SAN JOSE,CURRIDABAT,65206,15.9,4088,100.0,88.4,40.1,19146,3.40,74.4,4.3,99.0,99.4,98.8,10.9,11.3,10.4,32.3,23.3,90.3,53.2,9.6,41.1,58.9,72.6,47.1,12.1,15.2,9.5,13.3,35.2,8.5
SAN JOSE,PEREZ ZELEDON,134534,1905.5,71,48.5,94.6,51.4,38508,3.48,63.1,3.4,97.2,99.3,96.1,7.3,8.1,5.8,34.7,8.7,86.8,45.1,7.0,52.0,48.0,70.8,27.2,14.0,2.5,10.9,12.9,29.3,7.8
SAN JOSE,LEON CORTES CASTRO,12200,120.8,101,40.5,101.3,46.9,3377,3.61,57.6,2.6,96.6,98.8,95.3,6.4,7.1,5.1,31.1,5.6,83.2,37.0,4.6,52.8,47.2,75.9,18.4,16.0,4.1,9.6,13.0,21.7,5.7
